ID,Name,"ATC Code","Therapeutic Class","Care Category",Synonyms
"e0bd0363-052a-4e8d-aca2-5c395a450323","pirenzépine","A02BX03","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"b9b9950e-ad18-48e0-8cd8-45d46a67e9ae","chlorure de méthiosulfonium","A02BX04","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"cb7898e5-7451-4fb0-b9dd-33311e531542","sous-citrate de bismuth","A02BX05","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"84ba865c-d5f9-4973-b957-5e2d124e8449","proglumide","A02BX06","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"cd09321a-8645-4551-b7f2-18eec1a9b86c","géfarnate","A02BX07","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"19ad49d1-2184-42d0-afde-9115fd81f44f","sulglicotide","A02BX08","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"87685d61-55f8-43cf-8d8c-922cec9e5475","acétoxolone","A02BX09","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"4ddf20d8-0415-407d-9419-c93bc7bb114f","zolimidine","A02BX10","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"6505074b-f305-463a-9580-0b5cd32de538","troxipide","A02BX11","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"548335e5-2165-4905-ad58-b2e789c0a09b","sous nitrate de bismuth","A02BX12","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"8f078f0d-4430-404b-aee1-6bc53fcc1767","miconazole","A01AB09","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"d46a5a6e-743e-47bd-ba9e-1430b3d5cb64","acide alginique","A02BX13","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"04b641ba-2799-4d58-8878-18663a9309b1","rébamipide","A02BX14","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"dba02dad-88da-4b8c-bddb-05dbffc19456","téprénone","A02BX15","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"1ab997bc-a9be-420c-8525-ab8523f333ba","irsogladine","A02BX16","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"6de59b70-455d-40a6-bde8-b677acfadcb4","carbénoxolone en association sauf aux psycholeptiques","A02BX51","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"779de65a-9997-4285-b03b-a8e298783d4c","carbénoxolone en association avec des psycholeptiques","A02BX71","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"994f0360-1b8c-47ab-98f9-fb585e7aceaf","géfarnate en association avec des psycholeptiques","A02BX77","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > autres médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO)","",""
"0be3d215-7172-440d-8553-4e52ca496794","oxyphencyclimine","A03AA01","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"528bc32e-da36-405e-8c04-fd5343ea46a0","camylofine","A03AA03","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
"fd048ea2-61b9-4157-a8d7-123bdcdbc90d","mébévérine","A03AA04","médicaments pour les troubles fonctionnels gastro-intestinaux > médicaments pour les troubles fonctionnels gastro-intestinaux > anticholinergiques de synthèse, esters avec groupement amine tertiaire","",""
