NOM_COMPLET;Nom commercial;DOSAGE;FORME;PRESENTATION;DCI;FABRIQUANT;PPV;PH;PFHT;UNITES_PAR_BOITE
CARBOPLATINE ISIO 150 MG / 15 ML BOITE D'UN FLACON DE 15 ML DE SOLUTION SOLUTION INJECTABLE POUR PERFUSION;CARBOPLATINE ISIO;150 MG / 15 ML;SOLUTION INJECTABLE POUR PERFUSION;BOITE D'UN FLACON DE 15 ML DE SOLUTION;CARBOPLATINE;ISIO;SANS PPV;SANS PH;SANS PFHT;1
CARBOPLATINE ISIO 450 MG / 45 ML BOITE D'UN FLACON DE 45 ML DE SOLUTION SOLUTION INJECTABLE POUR PERFUSION;CARBOPLATINE ISIO;450 MG / 45 ML;SOLUTION INJECTABLE POUR PERFUSION;BOITE D'UN FLACON DE 45 ML DE SOLUTION;CARBOPLATINE;ISIO;SANS PPV;SANS PH;SANS PFHT;1
EPISOPT 20 MG / ML + 5 MG / ML BOITE D'UN FLACON DE 5 ML COLLYRE EN SOLUTION;EPISOPT;20 MG / ML + 5 MG / ML;COLLYRE EN SOLUTION;BOITE D'UN FLACON DE 5 ML;DORZOLAMIDE // TIMOLOL MALEATE;ARWA MEDIC;SANS PPV;SANS PH;SANS PFHT;1
DAPTOMYCINE XELLIA 500 MG BOITE D'UN FLACON DE 15 ML DE SOLUTION POUDRE POUR SOLUTION INJECTABLE OU PERFUSION;DAPTOMYCINE XELLIA;500 MG;POUDRE POUR SOLUTION INJECTABLE OU PERFUSION;BOITE D'UN FLACON DE 15 ML DE SOLUTION;DAPTOMYCINE;AFRIC-PHAR;SANS PPV;SANS PH;SANS PFHT;1
ORABLOC 40 MG / ML ADRENALINEE A 1: 100 000 BOITE D E 100 CARTOUCHES DE 1,8 ML SOLUTION INJECTABLE;ORABLOC;40 MG / ML ADRENALINEE A 1: 100 000;SOLUTION INJECTABLE;BOITE D E 100 CARTOUCHES de 1,8 ML;CHLORHYDRATE D'ARTICAINE // ADRENALINE;KOSMOPHARM;SANS PPV;SANS PH;SANS PFHT;1
ORABLOC 40 MG / ML ADRENALINEE A 1: 200 000 BOITE D E 100 CARTOUCHES DE 1,8 ML SOLUTION INJECTABLE;ORABLOC;40 MG / ML ADRENALINEE A 1: 200 000;SOLUTION INJECTABLE;BOITE D E 100 CARTOUCHES de 1,8 ML;CHLORHYDRATE D'ARTICAINE // ADRENALINE;KOSMOPHARM;SANS PPV;SANS PH;SANS PFHT;1
EMISTOP 2 MG / ML BOITE DE 5 AMPOULES DE 2 ML SOLUTION INJECTABLE;EMISTOP;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 5 AMPOULES DE 2 ML;ONDANSETRON (SOUS FORME DE CHLORHYDRATE D'ONDANSETRON DIHYDRATE);AMANYS PHARMA;SANS PPV;SANS PH;SANS PFHT;5
EMISTOP 2 MG / ML BOITE DE 10 AMPOULES DE 2 ML SOLUTION INJECTABLE;EMISTOP;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 10 AMPOULES DE 2 ML;ONDANSETRON (SOUS FORME DE CHLORHYDRATE D'ONDANSETRON DIHYDRATE);AMANYS PHARMA;SANS PPV;SANS PH;SANS PFHT;10
EMISTOP 2 MG / ML BOITE DE 25 AMPOULES DE 2 ML SOLUTION INJECTABLE;EMISTOP;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 25 AMPOULES DE 2 ML;ONDANSETRON (SOUS FORME DE CHLORHYDRATE D'ONDANSETRON DIHYDRATE);AMANYS PHARMA;SANS PPV;SANS PH;SANS PFHT;25
EMISTOP 2 MG / ML BOITE DE 5 AMPOULES DE 4 ML SOLUTION INJECTABLE;EMISTOP;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 5 AMPOULES DE 4 ML;ONDANSETRON (SOUS FORME DE CHLORHYDRATE D'ONDANSETRON DIHYDRATE);AMANYS PHARMA;SANS PPV;SANS PH;SANS PFHT;5
EMISTOP 2 MG / ML BOITE DE 10 AMPOULES DE 4 ML SOLUTION INJECTABLE;EMISTOP;2 MG / ML;SOLUTION INJECTABLE;BOITE DE 10 AMPOULES DE 4 ML;ONDANSETRON (SOUS FORME DE CHLORHYDRATE D'ONDANSETRON DIHYDRATE);AMANYS PHARMA;SANS PPV;SANS PH;SANS PFHT;10
